case_id,ref_path,dist_path,distortion_type,distortion_level,parameter,random_seed
image_0003_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,11570268464096085299
image_0003_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,11570267364584457088
image_0003_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0003_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0003_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0003_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0003_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0003_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719220000_20260719221459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0004_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,7273152613972602896
image_0004_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,7273155912507487529
image_0004_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,7273154812995859318
image_0004_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0004_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0004_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0004_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0004_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0004_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719221500_20260719222959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0005_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,3159964346629839070
image_0005_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,3159963247118210859
image_0005_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,3159962147606582648
image_0005_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0005_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0005_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0005_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0005_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0005_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719223000_20260719224459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0006_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,3583059835373327640
image_0006_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,3583063133908212273
image_0006_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,3583062034396584062
image_0006_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0006_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0006_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0006_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0006_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0006_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719224500_20260719225959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0007_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,8395263075400191172
image_0007_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,8395266373935075805
image_0007_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,8395265274423447594
image_0007_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0007_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0007_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0007_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0007_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0007_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719230000_20260719231459_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0008_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,8968354313755937390
image_0008_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,8968353214244309179
image_0008_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,8968352114732680968
image_0008_blur_k03_s0p8,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/blur_k03_s0p8.png,gaussian_blur_k3_sigma_0.800000,1,kernel=3;sigma=0.8,
image_0008_blur_k07_s1p5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/blur_k07_s1p5.png,gaussian_blur_k7_sigma_1.500000,2,kernel=7;sigma=1.5,
image_0008_blur_k11_s3p0,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/blur_k11_s3p0.png,gaussian_blur_k11_sigma_3.000000,3,kernel=11;sigma=3,
image_0008_jpeg_quality_80,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/jpeg_quality_80.jpg,jpeg_quality_80,1,quality=80,
image_0008_jpeg_quality_50,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/jpeg_quality_50.jpg,jpeg_quality_50,2,quality=50,
image_0008_jpeg_quality_20,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719231500_20260719232959_1000M_V0001/jpeg_quality_20.jpg,jpeg_quality_20,3,quality=20,
image_0009_noise_sigma_5,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/noise_sigma_5.png,gaussian_noise_sigma_5,1,sigma=5,2246625656526727240
image_0009_noise_sigma_15,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/noise_sigma_15.png,gaussian_noise_sigma_15,2,sigma=15,2246628955061611873
image_0009_noise_sigma_30,../reference/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001.png,../distorted/FY4B-_AGRI--_N_DISK_1050E_L2-_GCLR_MULT_NOM_20260719233000_20260719234459_1000M_V0001/noise_sigma_30.png,gaussian_noise_sigma_30,3,sigma=30,2246627855549983662
